# Dummy data for run_table.csv, runs will be randomized in actual use
__run_id,__done,cpu_governor,load_type,load_level,run_time,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_16,CPU_USAGE_17,CPU_USAGE_18,CPU_USAGE_19,CPU_USAGE_20,CPU_USAGE_21,CPU_USAGE_22,CPU_USAGE_23,CPU_USAGE_24,CPU_USAGE_25,CPU_USAGE_26,CPU_USAGE_27,CPU_USAGE_28,CPU_USAGE_29,CPU_USAGE_30,CPU_USAGE_31,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_16,CPU_FREQUENCY_17,CPU_FREQUENCY_18,CPU_FREQUENCY_19,CPU_FREQUENCY_20,CPU_FREQUENCY_21,CPU_FREQUENCY_22,CPU_FREQUENCY_23,CPU_FREQUENCY_24,CPU_FREQUENCY_25,CPU_FREQUENCY_26,CPU_FREQUENCY_27,CPU_FREQUENCY_28,CPU_FREQUENCY_29,CPU_FREQUENCY_30,CPU_FREQUENCY_31,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),media_service_cpu_usage_mean,media_service_cpu_usage_p95,media_service_cpu_usage_max,media_service_cpu_usage_samples,media_service_mem_usage_mean,media_service_mem_usage_p95,media_service_mem_usage_max,media_service_mem_usage_samples,home_timeline_service_cpu_usage_mean,home_timeline_service_cpu_usage_p95,home_timeline_service_cpu_usage_max,home_timeline_service_cpu_usage_samples,home_timeline_service_mem_usage_mean,home_timeline_service_mem_usage_p95,home_timeline_service_mem_usage_max,home_timeline_service_mem_usage_samples,compose_post_service_cpu_usage_mean,compose_post_service_cpu_usage_p95,compose_post_service_cpu_usage_max,compose_post_service_cpu_usage_samples,compose_post_service_mem_usage_mean,compose_post_service_mem_usage_p95,compose_post_service_mem_usage_max,compose_post_service_mem_usage_samples,throughput,latency_p50,latency_p90,latency_p95,latency_p99
run_0_repetition_0,TODO,performance,media,low, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
run_1_repetition_0,TODO,performance,media,medium, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
run_2_repetition_0,TODO,performance,media,high, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
run_3_repetition_0,TODO,performance,home_timeline,low, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
run_4_repetition_0,TODO,performance,home_timeline,medium, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
run_5_repetition_0,TODO,performance,home_timeline,high, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
run_6_repetition_0,TODO,performance,compose_post,low, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
run_7_repetition_0,TODO,performance,compose_post,medium, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
run_8_repetition_0,TODO,performance,compose_post,high, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
run_9_repetition_0,TODO,powersave,media,low, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
