__run_id,cpu_governor,load_type,load_level,experimental_condition,total_application_energy,total_machine_energy,DRAM_ENERGY (J),PACKAGE_ENERGY (J),media_service_energy_joules,home_timeline_service_energy_joules,compose_post_service_energy_joules,throughput,latency_p50,latency_p90,latency_p95,latency_p99,run_time,cpu_usage_mean,cpu_freq_mean,memory_utilization,USED_MEMORY,TOTAL_MEMORY
run_46_repetition_3,schedutil,media,medium,schedutil_media_medium,140.42,6004.746826171875,1839.868896484375,4164.8779296875,5.47,49.07,85.88,0.00630864902478503,150,220,260,290,120.90629935264587,20.455640428815013,1498.25,0.03190020325564726,12898091989.685951,404326326272
run_53_repetition_10,schedutil,compose_post,high,schedutil_compose_post_high,228.98999999999998,7411.848022460952,2243.670654296875,5168.177368164077,8.33,54.15,166.51,0.00195562297308463,280,1100,1700,2600,120.68525671958923,29.356504782695655,1686.96875,0.03201726423852569,12945422826.842976,404326326272
run_5_repetition_10,performance,home_timeline,high,performance_home_timeline_high,13.17,4349.8079833984375,1070.8721923828125,3278.935791015625,0,13.17,0,0.01234704801648604,74,93,130,170,121.12351059913637,2.745445937635835,2827.21875,0.0322137042073495,13024848677.770493,404326326272
run_8_repetition_9,performance,compose_post,high,performance_compose_post_high,208.85000000000002,7507.5030517578125,2257.34765625,5250.1553955078125,4.57,47.95,156.33,0.00206587913063936,290,1200,1500,2300,120.59588289260864,27.64532781615545,2696.125,0.032180203097398205,13011303297.057852,404326326272
run_46_repetition_14,schedutil,media,medium,schedutil_media_medium,145.94,6162.755920410142,1915.1326293945167,4247.623291015625,7.76,38.33,99.85,0.00653403845831128,140,210,250,280,120.77927708625792,21.00182889857568,1538.4375,0.0325188901173805,13148243375.603306,404326326272
run_36_repetition_5,conservative,media,low,conservative_media_low,224.17000000000002,5860.841613769517,1785.1654663085792,4075.6761474609375,9.18,67.38,147.61,0.07626477081475112,13,19,20,26,120.73583030700684,32.957903328143864,1034.6875,0.03316486141158893,13409426575.86777,404326326272
run_50_repetition_3,schedutil,home_timeline,high,schedutil_home_timeline_high,35.86,2979.3453369140334,391.8883056640334,2587.45703125,0,35.85,0.01,0.01279120504521198,72,91,130,160,121.07532000541688,7.183459742071076,1705.71875,0.03375039287514144,13646172361.442623,404326326272
run_36_repetition_3,conservative,media,low,conservative_media_low,225.83,5961.297302246094,1823.0318603515625,4138.265441894531,6.2,65.89,153.74,0.07665299813293913,12,19,21,25,120.70349979400636,33.10870127570778,921.6875,0.03384829621221066,13685757258.049587,404326326272
run_46_repetition_4,schedutil,media,medium,schedutil_media_medium,186.69,6206.032775878877,1936.1360473632812,4269.896728515596,5.7,56.6,124.39,0.00657447725254982,140,210,250,280,120.82586145401,21.270154817784125,1618.875,0.03424071930872685,13844424247.008265,404326326272
run_42_repetition_1,conservative,compose_post,low,conservative_compose_post_low,300.65,6789.950805664033,1837.4935302734375,4952.457275390596,6.5,93.97,200.18,0.03062849475546733,32,45,52,53,120.72011041641235,35.697045953667235,1110.46875,0.0348872857029719,14105848061.884298,404326326272
run_47_repetition_10,schedutil,media,high,schedutil_media_high,156.35,6106.215393066406,1884.8849487304688,4221.3304443359375,7.47,50.82,98.06,0.00525327315249677,160,250,290,680,121.6145691871643,19.078894589523802,1617.0625,0.03518941164841166,14228005535.47541,404326326272
run_13_repetition_9,powersave,home_timeline,medium,powersave_home_timeline_medium,29.04,3064.798278808623,447.227783203125,2617.570495605498,0,29.04,0,0.01360801074357463,71,90,110,140,121.6338665485382,7.437474481150751,799.59375,0.03572851250504454,14445978204.32787,404326326272
run_31_repetition_11,ondemand,home_timeline,medium,ondemand_home_timeline_medium,14.53,3139.1807861328416,445.612060546875,2693.5687255859666,0,14.53,0,0.01403490346985268,69,88,110,130,120.84478974342346,4.822521787429275,1143.1875,0.035617351129226045,14401032733.619837,404326326272
run_34_repetition_11,ondemand,compose_post,medium,ondemand_compose_post_medium,295.31,6387.197021484302,1531.7726440429542,4855.424377441348,8.67,60.18,226.46,0.0047222785710693,230,360,380,460,120.61985325813292,35.463604365283054,1125.125,0.035572098660839366,14382735969.322311,404326326272
run_30_repetition_12,ondemand,home_timeline,low,ondemand_home_timeline_low,21.84,3194.5835571288335,453.8041381835792,2740.7794189452543,0,21.84,0,0.07382444311078408,14,17,17,18,120.58424854278564,5.312201971095825,1274.25,0.035677440576803665,14425328479.206612,404326326272
run_2_repetition_10,performance,media,high,performance_media_high,208.81,6039.108764648481,1799.3522949218896,4239.756469726592,4.85,44.37,159.59,0.00529425966279587,160,250,300,660,121.53797435760498,17.18908641927066,2706.25,0.035820056976261595,14482992044.065577,404326326272
run_36_repetition_4,conservative,media,low,conservative_media_low,280.7,5901.971130371123,1798.031982421875,4103.939147949248,9.53,92.21,178.96,0.07683875631307674,13,19,20,25,120.71431827545166,33.05817300284451,929.40625,0.036354550137165605,14699101700.231403,404326326272
run_14_repetition_1,powersave,home_timeline,high,powersave_home_timeline_high,35.07,3061.3412475585938,445.5534057617187,2615.787841796875,0,35.05,0.02,0.01273877817584847,72,90,130,160,121.91418409347534,7.962621375124472,799.78125,0.03672621490632616,14849375550.95082,404326326272
run_39_repetition_4,conservative,home_timeline,low,conservative_home_timeline_low,24.06,3163.0201416015475,456.9243774413917,2706.095764160156,0,24.06,0,0.07163879355975254,14,17,18,18,120.71835803985596,6.755878112825356,1030.125,0.03671756877825681,14845879693.752066,404326326272
run_48_repetition_6,schedutil,home_timeline,low,schedutil_home_timeline_low,32.76,3169.049072265625,449.412841796875,2719.63623046875,0,32.76,0,0.0742410297985105,13,17,17,18,120.57453083992004,6.8180405884858,1659.34375,0.0367317694659061,14851621405.619837,404326326272
run_7_repetition_13,performance,compose_post,medium,performance_compose_post_medium,201.45999999999998,7773.4119873046875,2326.9662475585938,5446.445739746094,5.86,62.68,132.92,0.00477057119639396,230,340,370,460,120.55179619789124,29.96107715779284,2614.4375,0.036660884076485205,14822960576.528925,404326326272
run_30_repetition_4,ondemand,home_timeline,low,ondemand_home_timeline_low,25.96,3177.5497436523438,429.3419799804687,2748.207763671875,0,25.96,0,0.07379388839478918,14,17,17,18,120.61194849014282,5.316771150435792,1036.25,0.036743416950021784,14856330790.082644,404326326272
run_8_repetition_3,performance,compose_post,high,performance_compose_post_high,249.01,7458.432250976566,2235.5084838867188,5222.923767089847,4.76,51.55,192.7,0.0018076000490158,290,1300,2000,2900,120.60552310943604,26.989280775374123,2764.375,0.036769701316383095,14866958251.3719,404326326272
run_4_repetition_12,performance,home_timeline,medium,performance_home_timeline_medium,13.8,4437.84716796875,1109.2607421875,3328.58642578125,0,13.8,0,0.01405514214798475,69,88,100,130,120.72534012794496,2.8204808265340233,2827.8125,0.03698898605178128,14955620842.842976,404326326272
run_36_repetition_10,conservative,media,low,conservative_media_low,204.55,5961.79638671875,1804.1004028320312,4157.695983886719,10.09,86.16,108.3,0.0773147004054031,12,19,20,25,120.6885542869568,32.928159167451305,939.71875,0.037051551845572066,14980917840.396694,404326326272
run_51_repetition_4,schedutil,compose_post,low,schedutil_compose_post_low,196.01,6949.6300048828125,1864.363037109375,5085.2669677734375,5.16,56.86,133.99,0.03288313780879005,28,48,49,50,120.56671118736269,29.87103968233732,1447.53125,0.03754186086074515,15179162683.23967,404326326272
run_24_repetition_2,userspace,compose_post,low,userspace_compose_post_low,298.26,7681.31884765625,2426.7607421875,5254.55810546875,11.16,94.38,192.72,0.02787644421343058,36,52,59,61,120.57704424858092,36.09863153706527,1532.21875,0.0377521816716047,15264200924.033058,404326326272
run_42_repetition_0,conservative,compose_post,low,conservative_compose_post_low,257.17,6666.554138183594,1767.3251342773438,4899.22900390625,9.06,61.46,186.65,0.02780256173427421,36,48,53,53,120.66970181465148,35.00866174554714,1042.5625,0.03784948714167494,15303544087.272728,404326326272
run_13_repetition_8,powersave,home_timeline,medium,powersave_home_timeline_medium,26.37,3053.170166015625,444.60992431640625,2608.5602416992188,0,26.37,0,0.01401850607703281,69,87,110,130,121.60358214378356,7.803733532393322,799.6875,0.038066516780107064,15391294883.67213,404326326272
run_30_repetition_2,ondemand,home_timeline,low,ondemand_home_timeline_low,26.3,3202.9525756835938,463.6253051757813,2739.3272705078125,0,26.3,0,0.07408229099419897,14,17,17,18,120.6463372707367,5.288394355099677,1052.15625,0.038042859490095976,15381729618.512396,404326326272
run_26_repetition_7,userspace,compose_post,high,userspace_compose_post_high,350.90999999999997,5776.2459716796875,1587.0669555664062,4189.179016113281,15.74,104.88,230.29,0.00195325891795188,310,1300,1700,2200,121.4784858226776,52.95556197474238,910.6875,0.03801699209164839,15371270748.32787,404326326272
run_4_repetition_4,performance,home_timeline,medium,performance_home_timeline_medium,11.55,4395.893432617173,1091.63037109375,3304.263061523423,0,11.55,0,0.01405363414668609,69,88,110,130,120.72978591918944,2.8378076734991113,2680.625,0.03819697532951731,15444042709.685951,404326326272
run_22_repetition_14,userspace,home_timeline,medium,userspace_home_timeline_medium,13.04,4343.404113769517,1064.2301025390625,3279.174011230454,0,13.04,0,0.01405529204326371,69,88,110,130,120.72848320007324,2.80717837093167,2688.875,0.038248971483574985,15465066123.636364,404326326272
run_47_repetition_6,schedutil,media,high,schedutil_media_high,191.72,5939.611267089829,1798.3046875,4141.306579589829,5.92,41.15,144.65,0.00526284315807528,160,260,300,680,121.68629670143127,19.203317955380577,1482.5,0.03817845231452336,15436553367.081966,404326326272
run_20_repetition_8,userspace,media,high,userspace_media_high,315.34999999999997,5966.394775390625,1911.54296875,4054.851806640625,8.94,79.96,226.45,0.0049655531464675,170,270,310,790,122.4653205871582,28.387750560190618,1140.34375,0.03895565563111413,15750797128.845528,404326326272
run_32_repetition_12,ondemand,home_timeline,high,ondemand_home_timeline_high,17.55,3104.693176269546,407.862060546875,2696.831115722671,0,17.55,0,0.01243952361287499,74,93,130,170,121.2684543132782,4.990288923662462,1251.65625,0.0393590606461883,15913904396.590164,404326326272
run_53_repetition_14,schedutil,compose_post,high,schedutil_compose_post_high,229.71,7449.982666015625,2247.469665527344,5202.513000488281,6.95,56.73,166.03,0.00213004059510065,290,1000,1400,1900,120.6231439113617,29.51477302763273,1634.9375,0.03927743780063018,15880902131.305784,404326326272
run_23_repetition_11,userspace,home_timeline,high,userspace_home_timeline_high,21.16,4104.323547363281,1021.9230346679688,3082.4005126953125,0,21.16,0,0.01282196407222073,72,91,130,160,121.50814008712769,5.363463906189581,1174.4375,0.03949169348175454,15967531343.737703,404326326272
run_21_repetition_4,userspace,home_timeline,low,userspace_home_timeline_low,29.3,4948.202453613281,1437.3969116210938,3510.8055419921875,0,29.3,0,0.07166496405210132,14,17,18,18,121.34389662742616,5.001212844854129,1196.53125,0.03955569696434301,15993409636.721312,404326326272
run_41_repetition_13,conservative,home_timeline,high,conservative_home_timeline_high,24.29,3061.9908447265625,435.1644287109375,2626.826416015625,0,24.29,0,0.0127752045174117,71,90,130,160,121.2429974079132,7.167148490879136,1003.6875,0.03949648185422346,15969467408.786884,404326326272
